"@timestamp","process.name","process.memory.pct","system.process.memory.rss.bytes","process.cpu.pct"
"Aug 27, 2021 @ 05:43:22.176","firefox.exe","2.5%","399.8MB","3%"
"Aug 27, 2021 @ 05:43:22.176","firefox.exe","1.4%","229.8MB","1.7%"
"Aug 27, 2021 @ 05:43:22.176","dwm.exe","1.1%","175.2MB","0.6%"
"Aug 27, 2021 @ 05:43:22.176","firefox.exe","1.9%","300.7MB","0.5%"
"Aug 27, 2021 @ 05:43:22.176","svchost.exe","0.1%","8.9MB","0.2%"
"Aug 27, 2021 @ 05:43:22.176","pycharm64.exe","5.5%","898.8MB","0%"
"Aug 27, 2021 @ 05:43:22.176","firefox.exe","1.9%","305.1MB","0.1%"
"Aug 27, 2021 @ 05:43:22.176","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:43:12.179","firefox.exe","2.7%","431.8MB","4%"
"Aug 27, 2021 @ 05:43:12.179","firefox.exe","1.4%","229.4MB","1.9%"
"Aug 27, 2021 @ 05:43:12.179","firefox.exe","1.9%","301.3MB","1.3%"
"Aug 27, 2021 @ 05:43:12.179","dwm.exe","1.1%","175.2MB","0.9%"
"Aug 27, 2021 @ 05:43:12.179","svchost.exe","0.1%","8.9MB","0.3%"
"Aug 27, 2021 @ 05:43:12.179","pycharm64.exe","5.5%","898.8MB","0%"
"Aug 27, 2021 @ 05:43:12.179","firefox.exe","1.9%","305.1MB","0%"
"Aug 27, 2021 @ 05:43:12.179","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:43:02.181","firefox.exe","1.8%","299.8MB","1.8%"
"Aug 27, 2021 @ 05:43:02.181","firefox.exe","2.3%","381.2MB","1.6%"
"Aug 27, 2021 @ 05:43:02.181","firefox.exe","1.4%","220.5MB","1%"
"Aug 27, 2021 @ 05:43:02.181","dwm.exe","1.1%","175.5MB","0.6%"
"Aug 27, 2021 @ 05:43:02.181","svchost.exe","0.2%","37.4MB","0.5%"
"Aug 27, 2021 @ 05:43:02.181","pycharm64.exe","5.5%","898.8MB","0%"
"Aug 27, 2021 @ 05:43:02.181","firefox.exe","1.9%",306MB,"0.1%"
"Aug 27, 2021 @ 05:43:02.181","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:52.185","sqlservr.exe","0.7%","120.7MB","1.5%"
"Aug 27, 2021 @ 05:42:52.185","explorer.exe","0.9%","145.7MB","1.1%"
"Aug 27, 2021 @ 05:42:52.185","firefox.exe","1.8%","290.8MB","0.7%"
"Aug 27, 2021 @ 05:42:52.185","texstudio.exe","1.3%","213.3MB","0.5%"
"Aug 27, 2021 @ 05:42:52.185","firefox.exe","1.4%","224.1MB","0.5%"
"Aug 27, 2021 @ 05:42:52.185","pycharm64.exe","5.5%","898.9MB","0%"
"Aug 27, 2021 @ 05:42:52.185","firefox.exe","2%","317.4MB","0.3%"
"Aug 27, 2021 @ 05:42:52.185","firefox.exe","1.9%","303.6MB","0%"
"Aug 27, 2021 @ 05:42:52.185","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:42.186","texstudio.exe","1.3%","213.2MB","1.5%"
"Aug 27, 2021 @ 05:42:42.186","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:42:42.186","firefox.exe","1.8%","284.2MB","0.2%"
"Aug 27, 2021 @ 05:42:42.186","metricbeat.exe","0.4%","65.8MB","0.1%"
"Aug 27, 2021 @ 05:42:42.186","firefox.exe","1.9%","313.8MB","0%"
"Aug 27, 2021 @ 05:42:42.186","pycharm64.exe","5.5%","898.9MB","0%"
"Aug 27, 2021 @ 05:42:42.186","firefox.exe","1.9%","302.2MB","0%"
"Aug 27, 2021 @ 05:42:42.186","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:32.179","sqlservr.exe","0.7%","120.6MB","1.9%"
"Aug 27, 2021 @ 05:42:32.179","texstudio.exe","1.5%","240.6MB","0.5%"
"Aug 27, 2021 @ 05:42:32.179","dwm.exe","1.1%","175.2MB","0.2%"
"Aug 27, 2021 @ 05:42:32.179","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:42:32.179","metricbeat.exe","0.4%","65.4MB","0.1%"
"Aug 27, 2021 @ 05:42:32.179","pycharm64.exe","5.5%","898.9MB","0%"
"Aug 27, 2021 @ 05:42:32.179","firefox.exe","1.9%","312.3MB","0.1%"
"Aug 27, 2021 @ 05:42:32.179","firefox.exe","1.9%","302.2MB","0%"
"Aug 27, 2021 @ 05:42:32.179","firefox.exe","1.8%","288.3MB","0%"
"Aug 27, 2021 @ 05:42:32.179","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:22.176","texstudio.exe","1.5%","240.6MB","1%"
"Aug 27, 2021 @ 05:42:22.176","dwm.exe","1.1%","175.2MB","0.4%"
"Aug 27, 2021 @ 05:42:22.176","metricbeat.exe","0.4%","64.8MB","0.3%"
"Aug 27, 2021 @ 05:42:22.176","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:42:22.176","svchost.exe","0.1%","8.9MB","0.2%"
"Aug 27, 2021 @ 05:42:22.176","pycharm64.exe","5.5%","898.9MB","0%"
"Aug 27, 2021 @ 05:42:22.176","firefox.exe","1.9%",312MB,"0.2%"
"Aug 27, 2021 @ 05:42:22.176","firefox.exe","1.9%","302.3MB","0%"
"Aug 27, 2021 @ 05:42:22.176","firefox.exe","1.8%","288.1MB","0.1%"
"Aug 27, 2021 @ 05:42:22.176","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:12.181","texstudio.exe","1.5%","240.6MB","1.2%"
"Aug 27, 2021 @ 05:42:12.181","dwm.exe","1.1%","175.2MB","0.4%"
"Aug 27, 2021 @ 05:42:12.181","svchost.exe","0.1%","8.9MB","0.2%"
